STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790220,-9999,-9999,-9999,-9999,-9999,16
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790221,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790222,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790223,-9999,-9999,-9999,-9999,-9999,12
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790224,-9999,-9999,-9999,-9999,-9999,32
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790225,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790226,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790227,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790228,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790305,-9999,-9999,-9999,-9999,-9999,33
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790306,0.30,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790307,0.70,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790308,-9999,-9999,-9999,-9999,-9999,26
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790309,-9999,-9999,-9999,-9999,-9999,2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790310,-9999,-9999,-9999,-9999,-9999,9
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790311,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790312,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790313,-9999,-9999,-9999,-9999,-9999,7
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790314,-9999,-9999,-9999,-9999,-9999,18
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790315,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790316,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790317,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790318,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790319,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790320,-9999,-9999,-9999,-9999,-9999,9
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790321,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790322,-9999,-9999,-9999,-9999,-9999,8
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790323,-9999,-9999,-9999,-9999,-9999,16
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790324,-9999,-9999,-9999,-9999,-9999,18
